sid,lon,lat,date,s2,s3,ir0,ir1,ir2,ws1,ws2
d2dc5aa0,33.0648467,0.63566,2023-01-11 11:46:49.774000+03:00,20,50,irrigated,no,,no,
14b888ff,30.5320646,0.6242939,2023-01-11 12:01:30.576000+03:00,12,15,irrigated,no,,no,
34a403fb,33.0486096,0.3278645,2023-01-11 12:03:14.319000+03:00,1,1,irrigated,yes,green_crops_ds,no,
aa4e2b5f,34.193825,0.767136667,2023-01-11 12:07:52.098000+03:00,15,35,irrigated,no,,no,
0937daa7,30.5810381,0.6409592,2023-01-11 12:11:50.294000+03:00,5,30,both_irrigated_non-irrigated,no,,no,
d7b43aab,30.5810317,0.6409967,2023-01-11 12:14:00.770000+03:00,10,40,both_irrigated_non-irrigated,no,,no,
20c12e27,33.0517417,0.3249606,2023-01-11 12:14:16.082000+03:00,50,100,irrigated,yes,green_crops_ds,no,
505a40f4,33.0528613,0.3250163,2023-01-11 12:22:01.764000+03:00,8,25,irrigated,yes,green_crops_ds,no,
06f2102e,33.0530754,0.3255278,2023-01-11 12:25:38.619000+03:00,80,100,irrigated,yes,green_crops_ds,no,
763d1254,33.0512997,0.3249566,2023-01-11 12:34:57.938000+03:00,40,100,irrigated,yes,green_crops_ds,no,
44cdd317,33.9801605,1.3154788,2023-01-11 12:43:30.674000+03:00,20,45,irrigated,no,,yes,borehole
9ab089fa,34.2090856,0.7744118,2023-01-11 12:47:24.828000+03:00,60,70,non-irrigated,yes,wet_ground_ds green_crops_ds,yes,surface_water
5b3be0f0,34.1132736,0.5899292,2023-01-11 12:51:12.463000+03:00,6,10,irrigated,no,,no,
3201a029,34.2090949,0.7753797,2023-01-11 12:56:43.207000+03:00,30,50,non-irrigated,yes,wet_ground_ds green_crops_ds,yes,surface_water
26c36822,33.9841583,1.308455,2023-01-11 12:58:50.906000+03:00,25,75,irrigated,no,,no,
06a7dbe0,34.2099104,0.7752374,2023-01-11 13:03:58.531000+03:00,30,70,irrigated,yes,wet_ground_ds green_crops_ds,yes,surface_water
5038b8ac,34.2097553,0.7755202,2023-01-11 13:08:40.524000+03:00,30,60,irrigated,yes,wet_ground_ds green_crops_ds,yes,surface_water
e183bd22,31.8538555,3.3518414,2023-01-11 13:15:13.452000+03:00,60,90,irrigated,no,,no,
57f63212,34.2095922,0.7749291,2023-01-11 13:17:07.836000+03:00,40,60,irrigated,yes,wet_ground_ds green_crops_ds,yes,surface_water
a2112b30,31.8544616,3.351845,2023-01-11 13:18:00.420000+03:00,80,90,irrigated,no,,no,
